sao romao;9404077
sapataria;9462299
sarnadas;9452803
seica-ourem;9434264
seixas;9418275
senhora da agonia;9418234
senhora das neves;9406312
sernada do vouga;9443000
sete rios;9466076
setil;9432003
setubal;9468122
silva;9406155
silvalde;9438422
silvalde-vouga;9444032
silves;9490183
simoes;9434744
sintra;9461101
soalheira;9453264
sobral;9448728
soito;9446185
soudos-vila nova;9440014
soure;9434801
souselas;9436087
sta cruz - damaia;9460038
suzao;9408060
tadim;9429090
taipa-requeixo;9442127
tamel;9406213
tancos;9451086
taveiro;9435139
tavira;9473320
telhada;9463958
telhal;9462067
terronhas;9408136
tojeirinha;9452738
tomar;9440154
torres vedras;9462471
tortosendo;9453678
tramagal;9451243
trancoso;9408151
travagem;9404010
travanca-macinhata;9444396
travasso;9442135
trezoi;9446136
trofa;9404630
tua;9411007
tui;0
tunes;9478006
ul;9444362
urgueiras;9444537
vacarica;9446045
valadares;9439115
valado;9463263
vale de figueira;9432284
vale de prazeres;9453397
vale de santarem;9432102
valega;9438240
valenca;9407005
valencia de alcantara;0
valongo;9408086
valongo vouga;9442291
vargelas;9411148
venda do alcaide;9468049
vendas novas;9472009
vermoil;9434553
verride;9465086
vesuvio;9411197
viana do castelo;9418002
vila da feira;9444206
vila das aves;9428134
vila fernando;9449114
vila franca das naves;9448546
vila franca de xira;9431278
vila garcia;9449072
vila mea;9408433
vila nova da baronia;9474278
vila nova da rainha;9431377
vila nova de ancos;9434868
vila nova de cerveira;9418341
vila nova de gaia;9439164
vila pouca do campo;9435105
vila real de santo antonio;9473569
vila velha de rodao;9452647
vilar formoso;9449460
vilela-fornos;9436053
virtudes;9433043
vizela;9428233
zibreira;9462331
