41.142958839999999,-7.256064683;9411197;Vesúvio
41.133084539999999,-7.2052465899999998;9411247;Freixo de Numão
41.131911510000002,-7.1172621610000002;9412005;Pocinho
41.20789268,-8.1424861620000009;9413037;Santo Isidoro
41.218154439999999,-8.1298254540000006;9413052;Valbom
41.22931853,-8.1244724030000004;9413078;Vila Caiz
41.233723240000003,-8.1205961000000002;9413086;Passinhos
41.250366630000002,-8.1052531109999997;9413102;Fregim-A
41.256368260000002,-8.0974759840000008;9413110;Fregim
41.272880569999998,-8.0838656069999999;9413136;Amarante
41.155682759999998,-7.7710538580000001;9414019;Corgo
41.173801709999999,-7.7653037210000004;9414043;Tanha
41.195939000000003,-7.759749931;9414084;Alvações
41.222705759999997,-7.7532006779999998;9414126;Povoação
41.237704960000002,-7.7394805059999996;9414159;Carrazedo
41.249823139999997,-7.7471778369999997;9414183;Cruzeiro
41.294112349999999,-7.7385075109999999;9414266;Vila Real
41.238145170000003,-7.4203842;9415057;Tralhariz
41.242085690000003,-7.3921069609999996;9415081;Castanheiro
41.281767379999998,-7.3920213859999997;9415149;Santa Luzia
41.292360670000001,-7.37365856;9415164;São Lourenço
41.307153190000001,-7.3643215450000001;9415180;Tralhão
41.328551740000002,-7.3578347339999999;9415222;Brunheda
41.33790836,-7.3158171110000003;9415263;Codeçais
41.347217559999997,-7.2782081380000001;9415289;Abreiro
41.366865300000001,-7.2392698940000004;9415347;Ribeirinha
41.384112899999998,-7.209492408;9415388;Vilarinho
41.387419569999999,-7.1666006600000003;9415420;Cachão
41.412383290000001,-7.1595746289999997;9415453;Frechas
41.440516639999998,-7.1691317210000003;9415495;Latadas
41.482474269999997,-7.1835035569999999;9416006;Mirandela
41.489280669999999,-7.177812415;9416014;Tarana
38.665956719999997,-9.1795510290000006;9417087;Pragal
38.589608900000002,-8.9957580480000008;9417095;Penalva
41.172403610000003,-7.0494352640000004;9417137;Corroios
38.620841259999999,-9.1290771559999992;9417152;Foros de Amora
38.609694220000002,-9.1013290120000008;9417186;Fogueteiro
41.18477875,-6.9713559839999997;9417236;Coina
41.69514942,-8.8314726700000001;9418002;Viana do Castelo
41.720527990000001,-8.8553286589999995;9418044;Areosa
41.750411470000003,-8.8633747780000007;9418085;Carreço
41.775429219999999,-8.8615298679999999;9418119;Afife
41.813215800000002,-8.8626499269999996;9418150;Âncora Praia
41.847918040000003,-8.8643587490000009;9418200;Moledo do Minho
41.869629689999996,-8.8434049780000006;9418234;Senhora da Agonia
41.87394381,-8.8345125759999998;9418242;Caminha
41.896312950000002,-8.8193552200000003;9418275;Seixas
41.909320839999999,-8.7929350819999996;9418291;Esqueiro
41.920003540000003,-8.7631184409999996;9418325;Gondarém
41.935983020000002,-8.7483355080000003;9418341;Vila Nova da Cerveira
41.979851760000003,-8.7025934439999997;9418416;Carvalha
41.993620100000001,-8.6664145890000004;9418440;São Pedro da Torre
41.197226950000001,-8.5766073669999994;9421006;São Gemil
41.189906290000003,-8.611016502;9421048;São Mamede de Infesta
41.196143390000003,-8.6296943600000002;9421055;Arroteia (A)
41.20664249,-8.6299473340000006;9421071;Leça do Balio
41.19117258,-8.6832309040000002;9421154;Leixões
41.21497557,-8.6589994190000006;9421170;Guifões
41.435161899999997,-8.2943683490000009;9424000;Guimarães
41.351052320000001,-8.4734041100000006;9428068;Santo Tirso
41.363598179999997,-8.4382129040000002;9428100;Caniços
41.35728289,-8.4065691149999999;9428134;Vila das Aves
41.364440539999997,-8.3893012169999999;9428159;Giesteira
41.365252949999999,-8.3640794639999996;9428191;Lordelo
41.37637342,-8.3423307569999992;9428209;Cuca
41.377440739999997,-8.3246538099999992;9428217;Pereirinhas
41.378695450000002,-8.3122012450000007;9428233;Vizela
41.402856720000003,-8.3195016590000002;9428266;Nespereira
41.421252500000001,-8.3012030939999999;9428290;Covas
41.481245000000001,-8.5290234760000008;9429033;Couto de Cambeses
41.489919659999998,-8.5090422379999993;9429066;Arentim
41.497096910000003,-8.4969577770000004;9429074;Ruílhe
41.508361860000001,-8.4839549749999996;9429090;Tadim
41.51953245,-8.4688848159999992;9429108;Aveleda
41.526822750000001,-8.459315234;9429116;Mazagão
41.530393220000001,-8.4423172710000003;9429132;Ferreiros
41.547843270000001,-8.4346801609999993;9429157;Braga
38.7140,-9.1225;9430007;Lisboa Santa Apolónia
38.747007240000002,-9.1027606649999999;9431005;Braço de Prata
38.769338689999998,-9.0989114139999998;9431039;Lisboa Oriente
38.779802570000001,-9.0997777089999996;9431047;Moscavide
38.79758073,-9.0989438450000009;9431062;Sacavém
38.809368650000003,-9.0933562539999997;9431070;Bobadela
38.842667179999999,-9.079060836;9431112;Santa Iria
38.861409520000002,-9.0621764020000004;9431146;Póvoa
38.892448170000002,-9.0314203240000008;9431187;Alverca
38.926491779999999,-9.0107598959999997;9431237;Alhandra
38.957660390000001,-8.9851475720000007;9431278;Vila Franca de Xira
38.989526830000003,-8.9651994560000006;9431310;Castanheira do Ribatejo
39.008185060000002,-8.9519970410000003;9431336;Carregado
39.038258259999999,-8.9251744590000008;9431377;Vila Nova da Raínha
39.052235580000001,-8.9002645810000001;9431401;Espadanal da Azambuja
39.116466969999998,-8.774562865;9432003;Setil
39.148422549999999,-8.7589319420000002;9432045;Santana Cartaxo
39.192683860000002,-8.7235077370000003;9432102;Vale de Santarém
